ministry,sector,state,region,implementing_agency,project_type,primary_bottleneck,original_cost_cr,planned_duration_months,project_age_months,duration_elapsed_ratio,remaining_planned_months,cumulative_expenditure_cr,physical_progress_pct,interim_financial_progress_pct,progress_decoupling_gap,expenditure_per_progress_point,milestone_count,milestones_completed,milestones_delayed,milestones_at_risk,milestone_delay_rate,milestone_completion_rate
Ministry of Railways,Railways,Uttar Pradesh,North,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,DESIGN_CHANGE,1189.27,59.0,18.0,0.3051,41.0,1346.27,96.12,113.2,17.08,14.01,10,9,10,0,1.0,0.9
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,PROCUREMENT,409.73,45.0,18.0,0.4,27.0,470.7,100.0,114.88,14.88,4.71,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Jharkhand,East,Railway Infrastructure Board / DFCCIL,Greenfield Construction,LAND_ACQUISITION,438.98,28.0,18.0,0.6429,10.0,532.9,100.0,121.4,21.4,5.33,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Strategic Interconnection,LAND_ACQUISITION,350.92,43.0,18.0,0.4186,25.0,457.05,100.0,130.24,30.24,4.57,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,NONE,629.81,67.0,18.0,0.2687,49.0,481.05,68.4,76.38,7.98,7.03,10,6,6,0,0.6,0.6
Ministry of Power,Power,Chhattisgarh,Central,National Thermal & Hydro Power Corp (NTPC/NHPC),Rehabilitation & Upgradation,NONE,669.51,60.0,18.0,0.3,42.0,438.69,69.95,65.52,-4.43,6.27,10,6,7,0,0.7,0.6
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Karnataka,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Greenfield Construction,LAND_ACQUISITION,576.37,44.0,18.0,0.4091,26.0,384.49,50.75,66.71,15.96,7.58,10,4,5,0,0.5,0.4
Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,DESIGN_CHANGE,518.73,62.0,18.0,0.2903,44.0,288.87,48.67,55.69,7.02,5.94,10,4,5,0,0.5,0.4
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,West Bengal,East,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,UTILITY_SHIFTING,3710.92,69.0,18.0,0.2609,51.0,4291.53,100.0,115.65,15.65,42.92,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Telangana,South,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,LAND_ACQUISITION,224.23,52.0,18.0,0.3462,34.0,285.14,100.0,127.16,27.16,2.85,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,NONE,554.91,28.0,18.0,0.6429,10.0,645.89,100.0,116.4,16.4,6.46,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Telangana,South,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,NONE,858.54,54.0,18.0,0.3333,36.0,847.24,100.0,98.68,-1.32,8.47,10,10,0,0,0.0,1.0
Ministry of Railways,Railways,Gujarat,West,Railway Infrastructure Board / DFCCIL,Corridor Modernization,NONE,535.03,54.0,18.0,0.3333,36.0,551.68,100.0,103.11,3.11,5.52,10,10,8,0,0.8,1.0
Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Greenfield Construction,ENVIRONMENTAL_CLEARANCE,150.0,68.0,18.0,0.2647,50.0,184.72,92.41,123.15,30.74,2.0,10,8,9,0,0.9,0.8
Ministry of Housing & Urban Affairs,Urban Transit,Odisha,East,Metro Rail Infrastructure SPV,Corridor Modernization,LAND_ACQUISITION,456.75,37.0,18.0,0.4865,19.0,559.75,100.0,122.55,22.55,5.6,10,10,10,0,1.0,1.0
Ministry of Power,Power,Andhra Pradesh,South,National Thermal & Hydro Power Corp (NTPC/NHPC),Strategic Interconnection,NONE,2314.38,24.0,18.0,0.75,6.0,2463.61,100.0,106.45,6.45,24.64,10,10,8,0,0.8,1.0
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Greenfield Construction,NONE,217.49,70.0,18.0,0.2571,52.0,188.93,75.69,86.87,11.18,2.5,10,7,8,0,0.8,0.7
Ministry of Power,Power,Maharashtra,West,National Thermal & Hydro Power Corp (NTPC/NHPC),Rehabilitation & Upgradation,DESIGN_CHANGE,150.0,28.0,18.0,0.6429,10.0,166.57,100.0,111.05,11.05,1.67,10,10,7,0,0.7,1.0
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Corridor Modernization,LEGAL_DISPUTE,1507.19,25.0,18.0,0.72,7.0,2072.89,100.0,137.53,37.53,20.73,10,10,10,0,1.0,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Maharashtra,West,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,UTILITY_SHIFTING,150.0,57.0,18.0,0.3158,39.0,172.62,100.0,115.08,15.08,1.73,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Strategic Interconnection,LAND_ACQUISITION,228.59,30.0,18.0,0.6,12.0,284.41,100.0,124.42,24.42,2.84,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Greenfield Construction,ENVIRONMENTAL_CLEARANCE,1553.98,26.0,18.0,0.6923,8.0,1760.35,100.0,113.28,13.28,17.6,10,10,5,0,0.5,1.0
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,INTERDEPARTMENTAL_DEPENDENCY,4488.8,58.0,18.0,0.3103,40.0,4368.63,85.41,97.32,11.91,51.15,10,8,9,0,0.9,0.8
Ministry of Railways,Railways,Telangana,South,Railway Infrastructure Board / DFCCIL,Corridor Modernization,LEGAL_DISPUTE,1852.47,70.0,18.0,0.2571,52.0,1813.26,81.55,97.88,16.33,22.23,10,7,8,0,0.8,0.7
Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,PROCUREMENT,3011.07,35.0,18.0,0.5143,17.0,3356.86,100.0,111.48,11.48,33.57,10,10,8,0,0.8,1.0
Ministry of Power,Power,Bihar,East,National Thermal & Hydro Power Corp (NTPC/NHPC),Rehabilitation & Upgradation,NONE,600.56,61.0,18.0,0.2951,43.0,390.6,63.46,65.04,1.58,6.16,10,6,5,1,0.5,0.6
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Tamil Nadu,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Capacity Augmentation / 6-Laning,ENVIRONMENTAL_CLEARANCE,1165.46,55.0,18.0,0.3273,37.0,1487.7,100.0,127.65,27.65,14.88,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Greenfield Construction,NONE,2544.04,43.0,18.0,0.4186,25.0,2840.63,100.0,111.66,11.66,28.41,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Andhra Pradesh,South,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,LAND_ACQUISITION,1187.85,51.0,18.0,0.3529,33.0,820.3,52.76,69.06,16.3,15.55,10,5,5,0,0.5,0.5
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,NONE,801.86,60.0,18.0,0.3,42.0,386.84,50.47,48.24,-2.23,7.66,10,4,2,1,0.2,0.4
Ministry of Power,Power,Tamil Nadu,South,National Thermal & Hydro Power Corp (NTPC/NHPC),Capacity Augmentation / 6-Laning,NONE,1435.63,48.0,18.0,0.375,30.0,1443.47,100.0,100.55,0.55,14.43,10,10,6,0,0.6,1.0
Ministry of Railways,Railways,Telangana,South,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,ENVIRONMENTAL_CLEARANCE,1299.61,51.0,18.0,0.3529,33.0,1615.51,100.0,124.31,24.31,16.16,10,10,10,0,1.0,1.0
Ministry of Power,Power,Karnataka,South,National Thermal & Hydro Power Corp (NTPC/NHPC),Corridor Modernization,NONE,1115.0,29.0,18.0,0.6207,11.0,1151.45,100.0,103.27,3.27,11.51,10,10,5,0,0.5,1.0
Ministry of Railways,Railways,Uttar Pradesh,North,Railway Infrastructure Board / DFCCIL,Corridor Modernization,PROCUREMENT,1772.91,36.0,18.0,0.5,18.0,1950.74,100.0,110.03,10.03,19.51,10,10,8,0,0.8,1.0
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,FOREST_CLEARANCE,3363.63,57.0,18.0,0.3158,39.0,3391.29,79.64,100.82,21.18,42.58,10,7,8,0,0.8,0.7
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Uttar Pradesh,North,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,DESIGN_CHANGE,270.25,33.0,18.0,0.5455,15.0,316.72,100.0,117.2,17.2,3.17,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Assam,Northeast,National Highways Authority of India (NHAI),Greenfield Construction,PROCUREMENT,743.41,64.0,18.0,0.2812,46.0,772.23,90.71,103.88,13.17,8.51,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Madhya Pradesh,Central,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,NONE,2143.05,25.0,18.0,0.72,7.0,2114.14,100.0,98.65,-1.35,21.14,10,10,0,0,0.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Strategic Interconnection,ENVIRONMENTAL_CLEARANCE,828.67,36.0,18.0,0.5,18.0,990.09,100.0,119.48,19.48,9.9,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Corridor Modernization,NONE,665.24,30.0,18.0,0.6,12.0,663.0,100.0,99.66,-0.34,6.63,10,10,6,0,0.6,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Maharashtra,West,Gas & Oil Infrastructure Authority (GAIL/IOCL),Capacity Augmentation / 6-Laning,NONE,639.0,31.0,18.0,0.5806,13.0,645.83,100.0,101.07,1.07,6.46,10,10,0,0,0.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Greenfield Construction,NONE,634.52,41.0,18.0,0.439,23.0,644.24,100.0,101.53,1.53,6.44,10,10,7,0,0.7,1.0
Ministry of Power,Power,Uttar Pradesh,North,National Thermal & Hydro Power Corp (NTPC/NHPC),Corridor Modernization,LAND_ACQUISITION,525.71,49.0,18.0,0.3673,31.0,617.55,81.17,117.47,36.3,7.61,10,7,8,0,0.8,0.7
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Corridor Modernization,DESIGN_CHANGE,1622.7,40.0,18.0,0.45,22.0,1886.86,100.0,116.28,16.28,18.87,10,10,10,0,1.0,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,West Bengal,East,Gas & Oil Infrastructure Authority (GAIL/IOCL),Greenfield Construction,FOREST_CLEARANCE,172.58,43.0,18.0,0.4186,25.0,193.41,100.0,112.07,12.07,1.93,10,10,9,0,0.9,1.0
Ministry of Power,Power,West Bengal,East,National Thermal & Hydro Power Corp (NTPC/NHPC),Rehabilitation & Upgradation,ENVIRONMENTAL_CLEARANCE,150.0,42.0,18.0,0.4286,24.0,182.78,100.0,121.85,21.85,1.83,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Jharkhand,East,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,PROCUREMENT,1391.26,25.0,18.0,0.72,7.0,1469.25,100.0,105.61,5.61,14.69,10,10,8,0,0.8,1.0
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,INTERDEPARTMENTAL_DEPENDENCY,1450.11,57.0,18.0,0.3158,39.0,1591.88,84.8,109.78,24.98,18.77,10,8,8,0,0.8,0.8
"Ministry of Ports, Shipping & Waterways",Ports & Shipping,Maharashtra,West,Major Ports Authority,Corridor Modernization,LAND_ACQUISITION,458.23,38.0,18.0,0.4737,20.0,360.68,55.14,78.71,23.57,6.54,10,5,6,0,0.6,0.5
Ministry of Civil Aviation,Civil Aviation,Bihar,East,Airports Authority of India (AAI),Corridor Modernization,FOREST_CLEARANCE,659.15,41.0,18.0,0.439,23.0,814.2,100.0,123.52,23.52,8.14,10,10,10,0,1.0,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Madhya Pradesh,Central,Metro Rail Infrastructure SPV,Greenfield Construction,NONE,976.75,26.0,18.0,0.6923,8.0,1075.63,100.0,110.12,10.12,10.76,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Andhra Pradesh,South,National Highways Authority of India (NHAI),Greenfield Construction,NONE,994.97,63.0,18.0,0.2857,45.0,1071.33,100.0,107.67,7.67,10.71,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Telangana,South,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,NONE,3229.74,25.0,18.0,0.72,7.0,3691.49,100.0,114.3,14.3,36.91,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Corridor Modernization,PROCUREMENT,1464.52,42.0,18.0,0.4286,24.0,1654.42,100.0,112.97,12.97,16.54,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,LAND_ACQUISITION,1267.8,46.0,18.0,0.3913,28.0,1591.78,100.0,125.55,25.55,15.92,10,10,10,0,1.0,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Odisha,East,Metro Rail Infrastructure SPV,Capacity Augmentation / 6-Laning,LAND_ACQUISITION,3370.78,41.0,18.0,0.439,23.0,4303.6,85.16,127.67,42.51,50.54,10,8,9,0,0.9,0.8
Ministry of Railways,Railways,Tamil Nadu,South,Railway Infrastructure Board / DFCCIL,Greenfield Construction,NONE,770.1,63.0,18.0,0.2857,45.0,438.63,56.88,56.96,0.08,7.71,10,5,4,0,0.4,0.5
Ministry of Road Transport & Highways,Roads & Highways,West Bengal,East,National Highways Authority of India (NHAI),Greenfield Construction,UTILITY_SHIFTING,2682.12,28.0,18.0,0.6429,10.0,3268.92,100.0,121.88,21.88,32.69,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Strategic Interconnection,CONTRACTOR,801.15,28.0,18.0,0.6429,10.0,863.46,100.0,107.78,7.78,8.63,10,10,0,0,0.0,1.0
Ministry of Power,Power,Rajasthan,North,National Thermal & Hydro Power Corp (NTPC/NHPC),Corridor Modernization,FOREST_CLEARANCE,405.45,72.0,18.0,0.25,54.0,505.22,100.0,124.61,24.61,5.05,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Karnataka,South,Railway Infrastructure Board / DFCCIL,Greenfield Construction,ENVIRONMENTAL_CLEARANCE,1569.34,46.0,18.0,0.3913,28.0,1848.17,94.17,117.77,23.6,19.63,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Corridor Modernization,NONE,1203.54,28.0,18.0,0.6429,10.0,1348.33,100.0,112.03,12.03,13.48,10,10,9,0,0.9,1.0
Ministry of Coal,Coal Infrastructure,Tamil Nadu,South,Coal Infrastructure PSU,Strategic Interconnection,UTILITY_SHIFTING,983.46,66.0,18.0,0.2727,48.0,1064.87,100.0,108.28,8.28,10.65,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,LAND_ACQUISITION,333.26,44.0,18.0,0.4091,26.0,387.73,100.0,116.34,16.34,3.88,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Strategic Interconnection,NONE,1529.14,32.0,18.0,0.5625,14.0,1572.52,100.0,102.84,2.84,15.73,10,10,6,0,0.6,1.0
"Ministry of Ports, Shipping & Waterways",Ports & Shipping,Odisha,East,Major Ports Authority,Rehabilitation & Upgradation,UTILITY_SHIFTING,150.0,30.0,18.0,0.6,12.0,182.99,100.0,121.99,21.99,1.83,10,10,10,0,1.0,1.0
Ministry of Power,Power,Uttar Pradesh,North,National Thermal & Hydro Power Corp (NTPC/NHPC),Corridor Modernization,NONE,794.02,30.0,18.0,0.6,12.0,868.96,100.0,109.44,9.44,8.69,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Uttar Pradesh,North,Railway Infrastructure Board / DFCCIL,Greenfield Construction,NONE,1204.11,58.0,18.0,0.3103,40.0,1201.6,100.0,99.79,-0.21,12.02,10,10,0,0,0.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Corridor Modernization,NONE,374.53,62.0,18.0,0.2903,44.0,416.27,100.0,111.14,11.14,4.16,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Greenfield Construction,FOREST_CLEARANCE,3953.96,39.0,18.0,0.4615,21.0,4644.95,100.0,117.48,17.48,46.45,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Madhya Pradesh,Central,National Highways Authority of India (NHAI),Greenfield Construction,LEGAL_DISPUTE,895.32,59.0,18.0,0.3051,41.0,1091.57,100.0,121.92,21.92,10.92,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Corridor Modernization,ENVIRONMENTAL_CLEARANCE,290.56,50.0,18.0,0.36,32.0,232.16,60.85,79.9,19.05,3.82,10,5,6,0,0.6,0.5
Ministry of Housing & Urban Affairs,Urban Transit,Uttar Pradesh,North,Metro Rail Infrastructure SPV,Strategic Interconnection,PROCUREMENT,1282.31,60.0,18.0,0.3,42.0,1253.09,88.77,97.72,8.95,14.12,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Madhya Pradesh,Central,National Highways Authority of India (NHAI),Strategic Interconnection,ENVIRONMENTAL_CLEARANCE,1378.84,64.0,18.0,0.2812,46.0,1352.87,75.81,98.12,22.31,17.85,10,7,8,0,0.8,0.7
Ministry of Road Transport & Highways,Roads & Highways,Andhra Pradesh,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,DESIGN_CHANGE,1462.05,63.0,18.0,0.2857,45.0,1420.6,87.53,97.16,9.63,16.23,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Strategic Interconnection,ENVIRONMENTAL_CLEARANCE,979.74,72.0,18.0,0.25,54.0,1177.17,88.48,120.15,31.67,13.3,10,8,9,0,0.9,0.8
Ministry of Railways,Railways,Andhra Pradesh,South,Railway Infrastructure Board / DFCCIL,Greenfield Construction,LAND_ACQUISITION,607.54,53.0,18.0,0.3396,35.0,796.57,93.64,131.11,37.47,8.51,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,NONE,442.5,52.0,18.0,0.3462,34.0,430.06,87.3,97.19,9.89,4.93,10,8,8,0,0.8,0.8
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,CONTRACTOR,308.08,33.0,18.0,0.5455,15.0,367.46,87.78,119.27,31.49,4.19,10,8,8,0,0.8,0.8
Ministry of Power,Power,Andhra Pradesh,South,National Thermal & Hydro Power Corp (NTPC/NHPC),Corridor Modernization,FOREST_CLEARANCE,4869.47,67.0,18.0,0.2687,49.0,5693.1,88.1,116.91,28.81,64.62,10,8,9,0,0.9,0.8
Ministry of Power,Power,Rajasthan,North,National Thermal & Hydro Power Corp (NTPC/NHPC),Capacity Augmentation / 6-Laning,NONE,208.71,28.0,18.0,0.6429,10.0,235.32,100.0,112.75,12.75,2.35,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Telangana,South,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,NONE,1897.72,72.0,18.0,0.25,54.0,1971.76,100.0,103.9,3.9,19.72,10,10,6,0,0.6,1.0
Ministry of Road Transport & Highways,Roads & Highways,Andhra Pradesh,South,National Highways Authority of India (NHAI),Greenfield Construction,NONE,4253.08,43.0,18.0,0.4186,25.0,4426.75,100.0,104.08,4.08,44.27,10,10,8,0,0.8,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Karnataka,South,Metro Rail Infrastructure SPV,Rehabilitation & Upgradation,DESIGN_CHANGE,912.66,30.0,18.0,0.6,12.0,1020.81,100.0,111.85,11.85,10.21,10,10,9,0,0.9,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Tamil Nadu,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,NONE,2122.65,41.0,18.0,0.439,23.0,2355.09,100.0,110.95,10.95,23.55,10,10,9,0,0.9,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,West Bengal,East,Gas & Oil Infrastructure Authority (GAIL/IOCL),Rehabilitation & Upgradation,LEGAL_DISPUTE,682.43,42.0,18.0,0.4286,24.0,578.88,65.26,84.83,19.57,8.87,10,6,7,0,0.7,0.6
Ministry of Power,Power,Uttar Pradesh,North,National Thermal & Hydro Power Corp (NTPC/NHPC),Corridor Modernization,NONE,1631.8,72.0,18.0,0.25,54.0,1522.41,95.74,93.3,-2.44,15.9,10,9,2,0,0.2,0.9
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Corridor Modernization,CONTRACTOR,910.59,55.0,18.0,0.3273,37.0,1023.2,100.0,112.37,12.37,10.23,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Corridor Modernization,NONE,374.03,66.0,18.0,0.2727,48.0,373.25,100.0,99.79,-0.21,3.73,10,10,8,0,0.8,1.0
Ministry of Jal Shakti,Water Resources,Karnataka,South,National Water Development Agency,Capacity Augmentation / 6-Laning,NONE,337.08,28.0,18.0,0.6429,10.0,349.53,100.0,103.69,3.69,3.5,10,10,4,0,0.4,1.0
Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Corridor Modernization,UTILITY_SHIFTING,778.67,59.0,18.0,0.3051,41.0,846.5,96.4,108.71,12.31,8.78,10,9,6,1,0.6,0.9
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Strategic Interconnection,CONTRACTOR,783.4,51.0,18.0,0.3529,33.0,880.23,86.1,112.36,26.26,10.22,10,8,9,0,0.9,0.8
Ministry of Housing & Urban Affairs,Urban Transit,Maharashtra,West,Metro Rail Infrastructure SPV,Strategic Interconnection,PROCUREMENT,294.36,41.0,18.0,0.439,23.0,324.15,92.94,110.12,17.18,3.49,10,8,9,0,0.9,0.8
Ministry of Railways,Railways,Telangana,South,Railway Infrastructure Board / DFCCIL,Greenfield Construction,NONE,934.73,36.0,18.0,0.5,18.0,969.64,100.0,103.73,3.73,9.7,10,10,0,0,0.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Jharkhand,East,National Highways Authority of India (NHAI),Greenfield Construction,LAND_ACQUISITION,1867.78,55.0,18.0,0.3273,37.0,1835.97,72.63,98.3,25.67,25.28,10,6,7,0,0.7,0.6
Ministry of Railways,Railways,Telangana,South,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,PROCUREMENT,1782.64,45.0,18.0,0.4,27.0,1716.65,79.95,96.3,16.35,21.47,10,7,7,0,0.7,0.7
